episode,step,reward
0,0,-150
21,10000,-79.3622
51,20000,-92.08
65,30000,-68.2491
80,40000,-66.5355
91,50000,-50.7546
101,60000,-46.1439
111,70000,-43.5613
123,80000,-53.6664
134,90000,-56.7611
147,100000,-58.1861
158,110000,-49.8527
170,120000,-51.5806
182,130000,-52.1855
193,140000,-52.8095
206,150000,-57.6537
220,160000,-61.4379
231,170000,-46.6372
241,180000,-37.92
254,190000,-61.5799
264,200000,-37.7298
275,210000,-43.9616
286,220000,-42.2962
298,230000,-45.5881
309,240000,-38.4704
321,250000,-44.332
336,260000,-62.2691
347,270000,-32.6478
359,280000,-39.3523
373,290000,-45.9712
384,300000,-29.7979
394,310000,-17.0539
404,320000,-11.6915
416,330000,-33.7067
427,340000,-15.5762
437,350000,-3.6369
451,360000,-35.4224
464,370000,-47.4088
474,380000,-7.661
484,390000,10.8698
496,400000,-9.219
506,410000,15.5753
516,420000,18.0056
527,430000,5.2745
538,440000,11.1961
548,450000,17.6164
558,460000,33.4375
568,470000,39.413
578,480000,27.9554
589,490000,20.3104
601,500000,13.8091
611,510000,31.3417
622,520000,22.1678
632,530000,59.8745
642,540000,57.9031
653,550000,39.5135
663,560000,68.0531
673,570000,70.8888
683,580000,78.1048
693,590000,83.0073
705,600000,54.017
718,610000,30.524
729,620000,72.3467
740,630000,56.187
751,640000,67.5013
761,650000,77.5814
771,660000,74.288
782,670000,79.6226
792,680000,102.0666
803,690000,78.3348
814,700000,76.4723
825,710000,80.8662
836,720000,81.0986
846,730000,103.2888
856,740000,102.2877
866,750000,104.9737
876,760000,112.2818
886,770000,115.1968
896,780000,100.8159
906,790000,112.178
917,800000,90.1926
929,810000,71.4402
939,820000,96.3506
950,830000,90.4375
960,840000,107.7514
970,850000,107.496
980,860000,110.4206
990,870000,115.8903
1001,880000,89.8772
1011,890000,116.4388
1022,900000,79.2957
1032,910000,98.3508
1042,920000,113.731
1052,930000,119.1688
1064,940000,83.9853
1074,950000,115.468
1084,960000,94.9681
1095,970000,98.6007
