episode,step,reward
0,58,-116.42
1,133,-100.36
2,190,-113.98
3,1790,-86.24
4,1884,-119.78
5,1981,-99.84
6,3581,-78.23
7,3679,-107.01
8,3761,-101.43
9,3879,-101.66
10,3919,-112.11
11,4049,-100.36
12,4114,-115.66
13,4215,-101.97
14,5815,-81.33
15,7415,-88.84
16,9015,-79.01
17,9108,-99.30
18,9266,-120.68
19,9376,-110.12
20,10976,-81.26
21,11058,-107.29
22,11170,-125.14
23,11270,-127.84
24,11379,-102.96
25,11471,-107.43
26,11580,-125.46
27,11656,-108.95
28,11727,-106.26
29,11804,-100.74
30,11879,-104.35
31,11965,-104.77
32,12062,-103.02
33,12151,-106.90
34,12241,-101.21
35,12356,-128.16
36,12549,-102.24
37,12616,-124.13
38,12824,-134.26
39,13068,-133.06
40,13159,-119.33
41,13233,-101.89
42,13361,-133.95
43,14961,-99.54
44,15032,-114.61
45,16632,-114.14
46,16691,-110.99
47,16794,-107.92
48,16885,-115.82
49,16962,-116.06
50,17049,-116.91
51,17107,-113.29
52,17165,-116.71
53,17286,-117.31
54,17343,-116.34
55,17434,-128.73
56,17524,-124.76
57,19124,-81.65
58,19224,-124.50
59,20824,-97.64
60,22424,-82.91
61,22586,-113.57
62,24186,-87.74
63,24264,-119.58
64,25864,-78.10
65,27464,-73.79
66,29064,-77.13
67,30664,-86.99
68,30782,-112.30
69,30836,-110.44
70,32436,-99.14
71,32544,-126.33
72,34144,-92.95
73,35744,-99.67
74,37344,-77.74
75,38944,-91.85
76,40544,-97.87
77,42144,-98.11
78,43744,-86.24
79,45344,-76.32
80,45900,-151.32
81,46011,-129.25
82,47611,-114.98
83,47781,-138.21
84,47874,-130.48
85,49474,-114.21
86,51074,-104.15
87,52674,-61.00
88,54274,-72.29
89,55874,-82.94
90,57474,-76.12
91,59074,-82.73
92,60674,-110.70
93,62274,-70.85
94,63874,-78.17
95,63947,-121.28
96,65547,-81.22
97,67147,-88.13
98,67240,-123.54
99,68840,-91.84
100,70440,-89.40
101,72040,-97.23
102,72111,-100.10
103,73711,-121.49
104,75311,-100.67
105,76911,-80.09
106,78511,-71.69
107,80111,-60.60
108,81711,-59.26
109,83277,-122.66
110,84877,-82.26
111,86477,-37.56
112,88077,-38.31
113,89677,-34.26
114,91277,-52.00
115,92877,-68.49
116,92936,-106.67
117,94536,-75.67
118,96136,-63.15
119,97736,-48.62
120,99336,-54.33
121,100936,-56.29
122,102536,-67.52
123,104136,-54.96
124,105736,-52.18
125,107336,-66.58
126,108936,-74.86
127,110536,-82.16
128,112136,-72.82
129,113736,-73.45
130,115336,-71.76
131,116936,-52.09
132,118490,-117.62
133,120090,-27.95
134,121690,-42.82
135,123290,-44.00
136,124890,-30.98
137,126490,-41.48
138,126590,-111.34
139,126681,-98.49
140,128281,-48.84
141,129881,-30.03
142,131481,-31.56
143,133081,-37.40
144,134681,-30.62
145,136281,-36.76
146,137881,-33.06
147,139481,-38.58
148,141081,-31.41
149,141350,-137.03
150,142950,-44.29
