episode,step,reward
0,58,-149.42000000000002
1,133,-150.36
2,190,-117.98
3,1790,-122.24
4,1884,-142.78
5,1981,-110.84
6,3581,-114.23
7,3679,-115.01
8,3761,-151.43
9,3879,-150.66
10,3919,-197.11
11,4049,-163.36
12,4114,-145.66
13,4215,-194.97
14,5815,-97.33
15,7415,-125.84
16,9015,-97.01
17,9108,-113.3
18,9266,-170.68
19,9376,-143.12
20,10976,-136.26
21,11058,-203.29000000000002
22,11170,-151.14
23,11270,-223.84
24,11379,-108.96
25,11471,-202.43
26,11580,-137.45999999999998
27,11656,-207.95
28,11727,-156.26
29,11804,-130.74
30,11879,-163.35
31,11965,-140.76
32,12062,-169.01
33,12151,-113.9
34,12241,-129.20999999999998
35,12356,-129.16
36,12549,-157.24
37,12616,-198.13
38,12824,-212.26
39,13068,-210.06
40,13159,-174.32
41,13233,-156.89
42,13361,-208.95
43,14961,-162.54000000000002
44,15032,-182.61
45,16632,-115.14
46,16691,-121.99
47,16794,-109.92
48,16885,-180.82
49,16962,-201.06
50,17049,-163.91
51,17107,-119.29
52,17165,-199.70999999999998
53,17286,-203.31
54,17343,-175.34
55,17434,-158.73
56,17524,-207.76
57,19124,-103.65
58,19224,-176.5
59,20824,-191.64
60,22424,-155.91
61,22586,-115.57
62,24186,-88.74
63,24264,-195.57
64,25864,-176.1
65,27464,-168.79000000000002
66,29064,-132.13
67,30664,-177.99
68,30782,-127.3
69,30836,-181.44
70,32436,-142.14
71,32544,-146.32999999999998
72,34144,-184.95
73,35744,-127.67
74,37344,-104.74
75,38944,-129.85
76,40544,-160.87
77,42144,-155.11
78,43744,-106.24
79,45344,-158.32
80,45900,-157.32
81,46011,-182.25
82,47611,-141.98000000000002
83,47781,-211.21
84,47874,-133.48
85,49474,-203.20999999999998
86,51074,-171.15
87,52674,-77.0
88,54274,-72.29
89,55874,-179.94
90,57474,-124.12
91,59074,-93.73
92,60674,-163.7
93,62274,-93.85
94,63874,-118.17
95,63947,-149.28
96,65547,-141.22
97,67147,-124.13
98,67240,-136.54000000000002
99,68840,-173.84
100,70440,-179.4
101,72040,-144.23000000000002
102,72111,-107.1
103,73711,-184.49
104,75311,-138.67000000000002
105,76911,-130.09
106,78511,-96.69
107,80111,-89.6
108,81711,-78.25999999999999
109,83277,-135.66
110,84877,-131.26
111,86477,-82.56
112,88077,-130.31
113,89677,-63.26
114,91277,-71.0
115,92877,-83.49
116,92936,-176.67000000000002
117,94536,-110.67
118,96136,-66.15
119,97736,-129.62
120,99336,-71.33
121,100936,-103.28999999999999
