episode,step,reward
1,1600,-84.36497783651238
2,3200,-84.73504678318969
3,3284,-90.22881409114667
4,3344,-94.34579258452058
5,3420,-95.2316933039313
6,3499,-97.01893449227275
7,3566,-97.96110772536872
8,3650,-97.89457961285424
9,5250,-97.51531173423672
10,6850,-96.32712106656423
11,6953,-96.74854261091451
12,8553,-94.83353856232496
13,8622,-96.38462618840632
14,8720,-97.23316006345985
15,8774,-98.10230765303612
16,8855,-98.32142516657424
17,8962,-98.54362105976952
18,9050,-99.39501290352237
19,10081,-103.01935256709054
20,10290,-105.31270188941392
21,10350,-105.6212031057147
22,10479,-106.58566760268945
23,10616,-107.05571578223838
24,10720,-107.3919920663683
25,10818,-107.26144856103909
26,10892,-107.34445462189431
27,10987,-107.46982619302553
28,11096,-107.64657468265555
29,11149,-107.78202613860863
30,11193,-108.06092970238588
31,11258,-108.31687837193496
32,11316,-108.36368694200519
33,11386,-108.66046322572626
34,12986,-108.46607751913135
35,13046,-108.50582064863535
36,13204,-108.54609202674035
37,13258,-108.36362415083741
38,13306,-108.34276801283347
39,13365,-108.14368877359739
40,13406,-108.05304507490959
41,13530,-108.04991384473875
42,13727,-108.122422937036
43,13867,-108.09454336222402
44,15467,-107.35592870032654
45,15520,-107.33239843913107
46,15573,-107.27610714005425
47,15671,-107.24419324680122
48,15782,-107.59364913941334
49,15847,-107.46056542399981
50,15896,-107.46566633687668
51,15946,-107.42904653967784
52,16008,-107.43394481209354
53,16074,-107.35919523859063
54,16131,-107.27591948753725
55,16185,-107.24002839455856
56,16248,-107.25300500844597
57,16326,-107.25764093921957
58,16388,-107.22516428523467
59,16440,-107.12574700496589
60,16503,-107.09988730966897
61,16562,-107.01894365595388
62,16631,-106.96191190644237
63,16695,-106.87251937111033
64,16762,-106.77505284147107
65,16814,-106.70606496257328
66,16865,-106.64465091342483
67,16918,-106.57044924321218
68,16982,-106.52450226632563
69,17034,-106.4552498739775
70,17090,-106.34191961231645
71,17155,-106.3161843806369
72,17219,-106.3360208309458
73,17275,-106.27516263508723
74,17343,-106.24135512632593
75,17411,-106.20234911487537
76,17477,-106.15560941625569
77,17541,-106.05890387683765
78,17590,-105.97662600426432
79,17646,-105.90852328370205
80,17702,-105.83504549759
81,17759,-105.75132735969999
82,17822,-105.66898361544688
83,17880,-105.59457437434341
84,17939,-105.50729918864697
85,18014,-105.43698819848709
86,18060,-105.39725777569046
87,18133,-105.3288543982856
88,18220,-105.29867700226788
89,18269,-105.31536373291516
90,18370,-105.24988830970571
91,18454,-105.26429504442369
92,18552,-105.24250453878025
93,18620,-105.24230589677165
94,18731,-105.29126685512439
95,18819,-105.23771090557584
96,18968,-105.23620134884182
97,19056,-105.36388305194846
98,19126,-105.47800342676722
99,19501,-105.75700120215808
100,19586,-105.72732213747115
101,19651,-105.90787369341177
102,19719,-106.08045046419419
103,19805,-106.07616619983698
104,19879,-106.03044959730732
105,19947,-106.10150564994227
106,20013,-106.0520693387985
107,20081,-106.10068752123945
108,20144,-106.18097170513701
109,20210,-106.3017435426224
110,20305,-106.47252851485766
111,20370,-106.49171304236205
112,20474,-106.8123631725416
113,20561,-106.81379915480785
114,20655,-106.73212763685093
115,20742,-106.63214209701353
116,20828,-106.8331419725343
117,20890,-106.90183485715527
118,20954,-106.8107363133458
119,21016,-106.17600524537309
120,21115,-105.70435891583195
121,21176,-105.64521725687399
122,21227,-105.4036299861472
123,21279,-105.27359082726284
124,21332,-105.15765392148889
125,21382,-105.14643048123311
126,21464,-105.0646098206026
127,21751,-105.47262023831199
128,21862,-105.4597466934661
129,21914,-105.4154952169232
130,22027,-105.25707566437775
131,22154,-105.0972392739208
132,22259,-104.92827523031912
133,22344,-104.75859115272031
134,22459,-104.6407202622257
135,22505,-104.6907242899979
136,22546,-104.70381757852913
137,22633,-104.76413799600127
138,22704,-104.95580807105452
139,22800,-105.04702215926514
140,22840,-105.1043612821501
141,22926,-105.05666969612089
142,23011,-105.01597273936295
143,23191,-105.04909095228369
144,24791,-105.54233692588033
145,24941,-105.85379752231157
146,25119,-105.84728842753293
147,26719,-106.29102490490133
148,28319,-106.18449606727698
149,29919,-105.73535209671292
150,31519,-105.93666646969592
151,33119,-105.84512279839139
152,34719,-105.23781976231892
153,35154,-105.62649652384937
154,36149,-106.46391090919704
155,36990,-107.2603958189749
156,38590,-107.18793839932931
157,40190,-107.27362981802563
158,41790,-106.99469082856629
159,43390,-106.97930297103805
160,44990,-107.10976353039747
161,46590,-106.8091323112752
162,47080,-107.3527478693525
163,47372,-107.6789546162053
164,48247,-107.9204531708427
165,49074,-107.81882963166419
166,50674,-107.8353795163213
167,52274,-108.01601150719485
168,53874,-108.43755884294522
169,55474,-108.68109281009114
170,55630,-108.61697705122559
171,57230,-109.13947375926801
172,58830,-109.32273970920696
173,60430,-109.52087552454162
174,62030,-109.83537221538779
